Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
default	1.05	0	1.00E-13	0.25	1.00E+01	0.0001	2.5	0.15	0	0.02	0.0001
0	1.06	0	1.54003E-13	0.25	1E+30	0.000185122	1.818890697	0.142318348	0	0.02	0.001
1	1.05979798	0	4.65866E-13	0.25	10	0.000214456	1.969432681	0.119072895	0	0.02	0.001
2	1.05959596	0	2.85351E-13	0.25	10	0.000201466	1.902768711	0.129366596	0	0.02	0.001
3	1.059393939	0	2.85351E-13	0.25	10	0.000201466	1.902768711	0.129366596	0	0.02	0.001
4	1.059191919	0	1.52278E-12	0.25	10	0.000245842	2.130510719	0.094200551	0	0.02	0.001
5	1.058989899	0	2.48777E-12	0.25	10	0.00025885	2.197265922	0.083892762	0	0.02	0.001
6	1.058787879	0	9.7854E-13	0.25	10	0.000234123	2.070366921	0.103487461	0	0.02	0.001
7	1.058585859	0	9.7854E-13	0.25	10	0.000234123	2.070366921	0.103487461	0	0.02	0.001
8	1.058383838	0	1.20099E-12	0.25	10	0.000239551	2.098224763	0.099185882	0	0.02	0.001
9	1.058181818	0	1.20099E-12	0.25	10	0.000239551	2.098224763	0.099185882	0	0.02	0.001
10	1.057979798	0	4.39246E-12	0.25	10	0.000273915	2.274582387	0.07195419	0	0.02	0.001
11	1.057777778	0	4.35631E-13	0.25	10	0.000212677	1.960306878	0.120482026	0	0.02	0.001
12	1.057575758	0	2.31139E-12	0.25	10	0.000256901	2.187264763	0.085437059	0	0.02	0.001
13	1.057373737	0	2.01364E-12	0.25	10	0.000253246	2.168509987	0.088333017	0	0.02	0.001
14	1.057171717	0	2.01364E-12	0.25	10	0.000253246	2.168509987	0.088333017	0	0.02	0.001
15	1.056969697	0	1.95071E-12	0.25	10	0.000252405	2.164191793	0.088999797	0	0.02	0.001
16	1.056767677	0	7.00736E-12	0.25	10	0.000286292	2.338103975	0.06214571	0	0.02	0.001
17	1.056565657	0	7.00736E-12	0.25	10	0.000286292	2.338103975	0.06214571	0	0.02	0.001
18	1.056363636	0	1.02152E-12	0.25	10	0.000235262	2.076212564	0.102584825	0	0.02	0.001
19	1.056161616	0	6.12162E-13	0.25	10	0.000221693	2.006574098	0.113337823	0	0.02	0.001
20	1.055959596	0	9.39657E-13	0.25	10	0.000233048	2.064852643	0.10433893	0	0.02	0.001
21	1.055757576	0	9.39657E-13	0.25	10	0.000233048	2.064852643	0.10433893	0	0.02	0.001
22	1.055555556	0	2.67833E-13	0.25	10	0.000199787	1.894151901	0.130697133	0	0.02	0.001
23	1.055353535	0	9.6521E-14	0.25	10	0.000172741	1.755350061	0.15212977	0	0.02	0.001
24	1.055151515	0	1.47343E-12	0.25	10	0.000244969	2.126030131	0.094892406	0	0.02	0.001
25	1.054949495	0	5.66565E-13	0.25	10	0.000219642	1.996047056	0.114963322	0	0.02	0.001
26	1.054747475	0	1.57173E-13	0.25	10	0.000185662	1.821661445	0.141890512	0	0.02	0.001
27	1.054545455	0	3.75121E-14	0.25	10	0.000147696	1.626816896	0.171976803	0	0.02	0.001
28	1.054343434	0	3.69411E-14	0.25	10	0.000147289	1.62473068	0.172298939	0	0.02	0.001
29	1.054141414	0	1.51198E-13	0.25	10	0.000184635	1.816391305	0.142704284	0	0.02	0.001
30	1.053939394	0	1.85407E-14	0.25	10	0.000129021	1.530978039	0.18677545	0	0.02	0.001
31	1.053737374	0	8.03906E-13	0.25	10	0.000228914	2.043632259	0.107615607	0	0.02	0.001
32	1.053535354	0	7.86246E-14	0.25	10	0.000167306	1.72745972	0.156436367	0	0.02	0.001
33	1.053333333	0	4.74259E-14	0.25	10	0.00015391	1.65870956	0.1670522	0	0.02	0.001
34	1.053131313	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
35	1.052929293	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
36	1.052727273	0	4.26501E-14	0.25	10	0.000151098	1.64427473	0.169281108	0	0.02	0.001
37	1.052525253	0	1.21373E-14	0.25	10	0.000117794	1.473357517	0.195672736	0	0.02	0.001
38	1.052323232	0	3.76976E-14	0.25	10	0.000147827	1.627487835	0.171873202	0	0.02	0.001
39	1.052121212	0	1.29227E-14	0.25	10	0.000119455	1.481884164	0.194356122	0	0.02	0.001
40	1.051919192	0	1.29227E-14	0.25	10	0.000119455	1.481884164	0.194356122	0	0.02	0.001
41	1.051717172	0	1.97803E-14	0.25	10	0.000130737	1.539780138	0.185416302	0	0.02	0.001
42	1.051515152	0	1.62535E-13	0.25	10	0.000186551	1.826224282	0.141185956	0	0.02	0.001
43	1.051313131	0	1.41604E-14	0.25	10	0.000121879	1.494323327	0.192435369	0	0.02	0.001
44	1.051111111	0	1.41604E-14	0.25	10	0.000121879	1.494323327	0.192435369	0	0.02	0.001
45	1.050909091	0	3.69367E-14	0.25	10	0.000147286	1.624714522	0.172301434	0	0.02	0.001
46	1.050707071	0	4.2025E-14	0.25	10	0.000150706	1.642266663	0.169591177	0	0.02	0.001
47	1.050505051	0	3.14962E-14	0.25	10	0.000143064	1.603044359	0.175647562	0	0.02	0.001
48	1.05030303	0	2.27045E-13	0.25	10	0.000195409	1.871682531	0.134166668	0	0.02	0.001
49	1.05010101	0	7.75144E-14	0.25	10	0.00016693	1.725525695	0.156735003	0	0.02	0.001
50	1.04989899	0	6.68118E-14	0.25	10	0.000162992	1.705318208	0.159855277	0	0.02	0.001
51	1.04969697	0	6.68118E-14	0.25	10	0.000162992	1.705318208	0.159855277	0	0.02	0.001
52	1.049494949	0	2.61724E-14	0.25	10	0.000138157	1.577862777	0.179535895	0	0.02	0.001
53	1.049292929	0	2.61724E-14	0.25	10	0.000138157	1.577862777	0.179535895	0	0.02	0.001
54	1.049090909	0	2.01212E-14	0.25	10	0.000131189	1.54210378	0.185057505	0	0.02	0.001
55	1.048888889	0	2.50233E-14	0.25	10	0.000136967	1.571756161	0.180478828	0	0.02	0.001
56	1.048686869	0	9.92375E-15	0.25	10	0.000112458	1.445973213	0.199901195	0	0.02	0.001
57	1.048484848	0	1.35044E-14	0.25	10	0.000120622	1.487872251	0.193431491	0	0.02	0.001
